Ubat,accx1,accy1,accz1,Acc1_Temp,accx2,accy2,accz2,Acc2_Temp,Abs_Pressure,Vector_Temp,Pressure_I,Pressure_Kiel,Pressure_Lacet,Air_Temp_I,Air_Temp_KIEL,Air_Temp_Lacet,Time,latitude,longitude,altGPS,vitesseGPS,UTC_h,UTC_m,UTC_s,dateGPS,Probe,DP,IAS_raw,IAS,Rho,TAS,TAS_knots,Time_UTC_x,Time_UTC_y, Latitude, Longitude, Heading,Cyclops bureau,Unnamed: 5
3.93,-0.217259,-8.199897,-5.211361,20.17,0.284806,8.153554,-5.043181,19.2,1.012744,22.76,-0.65,-0.633,-0.5458,24.22,23.81,22.72,1961,44.659012,-1.194548,52.5,0.0,15,58,30,9.2,,-0.6037833845473288,0.9928588978790891,1.0208657670059078,1.1924196425555067,1.034718286334408,2.0113267937082755,2000-01-01 15:58:30,2024-10-10 15:58:30.067,44.6590218,-1.19450156,93.3,57.0,
3.93,-0.217259,-8.199897,-5.211361,20.17,0.284806,8.153554,-5.043181,19.2,1.012744,22.76,-0.65,-0.633,-0.5458,24.22,23.81,22.72,1961,44.659012,-1.194548,52.5,0.0,15,58,30,9.2,,-0.6037833845473288,0.9928588978790891,1.0208657670059078,1.1924196425555067,1.034718286334408,2.0113267937082755,2000-01-01 15:58:30,2024-10-10 15:58:30.168,44.6590218,-1.19450156,96.5,57.0,
3.93,-0.217259,-8.199897,-5.211361,20.17,0.284806,8.153554,-5.043181,19.2,1.012744,22.76,-0.65,-0.633,-0.5458,24.22,23.81,22.72,1961,44.659012,-1.194548,52.5,0.0,15,58,30,9.2,,-0.6037833845473288,0.9928588978790891,1.0208657670059078,1.1924196425555067,1.034718286334408,2.0113267937082755,2000-01-01 15:58:30,2024-10-10 15:58:30.267,44.6590218,-1.19450156,96.5,57.0,
3.93,-0.217259,-8.199897,-5.211361,20.17,0.284806,8.153554,-5.043181,19.2,1.012744,22.76,-0.65,-0.633,-0.5458,24.22,23.81,22.72,1961,44.659012,-1.194548,52.5,0.0,15,58,30,9.2,,-0.6037833845473288,0.9928588978790891,1.0208657670059078,1.1924196425555067,1.034718286334408,2.0113267937082755,2000-01-01 15:58:30,2024-10-10 15:58:30.367,44.6590218,-1.19450156,96.5,59.0,
3.93,-0.217259,-8.199897,-5.211361,20.17,0.284806,8.153554,-5.043181,19.2,1.012744,22.76,-0.65,-0.633,-0.5458,24.22,23.81,22.72,1961,44.659012,-1.194548,52.5,0.0,15,58,30,9.2,,-0.6037833845473288,0.9928588978790891,1.0208657670059078,1.1924196425555067,1.034718286334408,2.0113267937082755,2000-01-01 15:58:30,2024-10-10 15:58:30.467,44.6590218,-1.19450156,96.5,59.0,
3.93,-0.217259,-8.199897,-5.211361,20.17,0.284806,8.153554,-5.043181,19.2,1.012744,22.76,-0.65,-0.633,-0.5458,24.22,23.81,22.72,1961,44.659012,-1.194548,52.5,0.0,15,58,30,9.2,,-0.6037833845473288,0.9928588978790891,1.0208657670059078,1.1924196425555067,1.034718286334408,2.0113267937082755,2000-01-01 15:58:30,2024-10-10 15:58:30.567,44.6590218,-1.19450156,96.5,59.0,
3.93,-0.217259,-8.199897,-5.211361,20.17,0.284806,8.153554,-5.043181,19.2,1.012744,22.76,-0.65,-0.633,-0.5458,24.22,23.81,22.72,1961,44.659012,-1.194548,52.5,0.0,15,58,30,9.2,,-0.6037833845473288,0.9928588978790891,1.0208657670059078,1.1924196425555067,1.034718286334408,2.0113267937082755,2000-01-01 15:58:30,2024-10-10 15:58:30.668,44.6590218,-1.19450156,96.5,59.0,
3.93,-0.217259,-8.199897,-5.211361,20.17,0.284806,8.153554,-5.043181,19.2,1.012744,22.76,-0.65,-0.633,-0.5458,24.22,23.81,22.72,1961,44.659012,-1.194548,52.5,0.0,15,58,30,9.2,,-0.6037833845473288,0.9928588978790891,1.0208657670059078,1.1924196425555067,1.034718286334408,2.0113267937082755,2000-01-01 15:58:30,2024-10-10 15:58:30.767,44.6590218,-1.19450156,96.5,59.0,
3.93,-0.217259,-8.199897,-5.211361,20.17,0.284806,8.153554,-5.043181,19.2,1.012744,22.76,-0.65,-0.633,-0.5458,24.22,23.81,22.72,1961,44.659012,-1.194548,52.5,0.0,15,58,30,9.2,,-0.6037833845473288,0.9928588978790891,1.0208657670059078,1.1924196425555067,1.034718286334408,2.0113267937082755,2000-01-01 15:58:30,2024-10-10 15:58:30.867,44.6590218,-1.19450156,96.5,59.0,
3.93,-0.217259,-8.199897,-5.211361,20.17,0.284806,8.153554,-5.043181,19.2,1.012744,22.76,-0.65,-0.633,-0.5458,24.22,23.81,22.72,1961,44.659012,-1.194548,52.5,0.0,15,58,30,9.2,,-0.6037833845473288,0.9928588978790891,1.0208657670059078,1.1924196425555067,1.034718286334408,2.0113267937082755,2000-01-01 15:58:30,2024-10-10 15:58:30.967,44.6590218,-1.19450156,96.5,59.0,
